student,mode,tag,n_seeds,macro_f1_mean,macro_f1_std,acc_mean,acc_std,ece_mean,params,macro_f1
google/bert_uncased_L-4_H-256_A-4,sweep_alpha_0.2,sweep_alpha_0.2,1,0.8385732966975704,,0.8527508090614887,,0.07155772841092453,11172102.0,0.8386 ± 0.0000
google/bert_uncased_L-4_H-256_A-4,sweep_alpha_0.6,sweep_alpha_0.6,1,0.8393892169159537,,0.8539066111881646,,0.09342465764992336,11172102.0,0.8394 ± 0.0000
google/bert_uncased_L-4_H-256_A-4,sweep_delta_0.1,sweep_delta_0.1,1,0.8388730581958156,,0.8534442903374942,,0.08480274723433695,11172102.0,0.8389 ± 0.0000
google/bert_uncased_L-4_H-256_A-4,sweep_delta_0.5,sweep_delta_0.5,1,0.8399321685285387,,0.8539066111881646,,0.08397354805601782,11172102.0,0.8399 ± 0.0000
google/bert_uncased_L-4_H-256_A-4,sweep_tau_0.5,sweep_tau_0.5,1,0.8389706282455488,,0.853213129912159,,0.08566886464231163,11172102.0,0.8390 ± 0.0000
google/bert_uncased_L-4_H-256_A-4,sweep_tau_2.0,sweep_tau_2.0,1,0.8390271843329903,,0.853213129912159,,0.08581296618729897,11172102.0,0.8390 ± 0.0000
google/bert_uncased_L-4_H-256_A-4,sweep_tau_5.0,sweep_tau_5.0,1,0.8389366602187097,,0.853213129912159,,0.08563761270492651,11172102.0,0.8389 ± 0.0000
google/bert_uncased_L-4_H-256_A-4,uniform,,3,0.8385117992318075,0.0018359144617451251,0.85236554168593,0.002019624352301002,0.08644054352428826,11172102.0,0.8385 ± 0.0018
google/bert_uncased_L-4_H-256_A-4,uniform_hetero,,3,0.8378359982883451,0.002427257316756594,0.8524425951610417,0.0023384174611640854,0.0812234646859017,11172102.0,0.8378 ± 0.0024
google/bert_uncased_L-4_H-512_A-8,dmthd,,3,0.8470758382962966,0.003388147525657604,0.8599938357219911,0.0025567360183443976,0.09180657907753222,28766726.0,0.8471 ± 0.0034
google/bert_uncased_L-4_H-512_A-8,dmthd_hetero,,3,0.8476569862127574,0.0010519322322524048,0.8608414239482199,0.0006934812760055475,0.09017797828060505,28766726.0,0.8477 ± 0.0011
google/bert_uncased_L-4_H-512_A-8,ft,,3,0.8469060127077964,0.004019369141705272,0.8597626752966558,0.0038287126672229186,0.06867350051648849,28766726.0,0.8469 ± 0.0040
google/bert_uncased_L-4_H-512_A-8,skd,,3,0.8487803873346517,0.004424769741379493,0.8610725843735553,0.0041673038320203595,0.08901568376002057,28766726.0,0.8488 ± 0.0044
google/bert_uncased_L-4_H-512_A-8,skd_hetero,,3,0.8487803873346517,0.004424769741379493,0.8610725843735553,0.0041673038320203595,0.08901568376002057,28766726.0,0.8488 ± 0.0044
google/bert_uncased_L-4_H-512_A-8,uniform,,3,0.85050480092075,0.002838261448657096,0.8623824934504546,0.002268829074485339,0.09157475529218202,28766726.0,0.8505 ± 0.0028
google/bert_uncased_L-4_H-512_A-8,uniform_hetero,,3,0.8508771642615591,0.002086036431498136,0.8634612421020188,0.0015391419598889205,0.08753010345857415,28766726.0,0.8509 ± 0.0021
microsoft/deberta-v3-base,teacher,,1,0.8719818649374179,,0.8867313915857605,,0.05302976362555327,,0.8720 ± 0.0000
microsoft/deberta-v3-xsmall,dmthd,,3,0.8832939883397314,0.001769604022303252,0.8959778085991679,0.0016669215328081247,0.0763316261536867,70832262.0,0.8833 ± 0.0018
microsoft/deberta-v3-xsmall,dmthd_hetero,,3,0.8827967180445385,0.001381729580136677,0.8956695946987209,0.0011862231713932123,0.07252070341947581,70832262.0,0.8828 ± 0.0014
microsoft/deberta-v3-xsmall,ft,,3,0.8824947769268262,0.0009987734338618897,0.8948220064724919,0.00040038160137977606,0.054098392151999984,70832262.0,0.8825 ± 0.0010
microsoft/deberta-v3-xsmall,skd,,3,0.8864909200204867,0.0023003241048929783,0.8983664663276314,0.0021848431004404226,0.07042225137855847,70832262.0,0.8865 ± 0.0023
microsoft/deberta-v3-xsmall,skd_hetero,,3,0.8864909200204867,0.0023003241048929783,0.8983664663276314,0.0021848431004404226,0.07042225137855847,70832262.0,0.8865 ± 0.0023
microsoft/deberta-v3-xsmall,uniform,,3,0.8861831537797332,0.0021473431215364874,0.8984435198027431,0.0017955278467762794,0.0737701408308999,70832262.0,0.8862 ± 0.0021
microsoft/deberta-v3-xsmall,uniform_hetero,,3,0.8846867134215861,0.007836987107421551,0.897056557250732,0.007141073967697697,0.0678257689277239,70832262.0,0.8847 ± 0.0078
