dir,student,mode,seed,params,macro_f1,accuracy,ece,roc_auc,pr_auc,train_time_s,tag,benign_fpr,ironic_recall,obf_leet,obf_swap,obf_space,obf_mixed,int8_macro_f1,int8_size_mb,fp32_size_mb,int8_lat_b1,fp32_lat_b1
/kaggle/working/runs/tweets/bert-small/skd/seed3,bert-small,skd,3,28766726.0,0.8500005717143092,0.8622283865002311,0.08979710970302998,,,284.8710398674011,,0.38165345413363533,0.708974358974359,,,,,,,,,
/kaggle/working/runs/tweets/bert-small/skd_hetero/seed1,bert-small,skd_hetero,1,28766726.0,0.8438735580311567,0.8564493758668515,0.08712468140939844,,,283.014132976532,,0.30690826727066817,0.6730769230769231,,,,,,,,,
/kaggle/working/runs/tweets/bert-small/skd_hetero/seed2,bert-small,skd_hetero,2,28766726.0,0.8524670322584894,0.864539990753583,0.09012526016763331,,,283.2926826477051,,0.3556058890147225,0.7096153846153846,,,,,,,,,
/kaggle/working/runs/tweets/bert-small/skd_hetero/seed3,bert-small,skd_hetero,3,28766726.0,0.8500005717143092,0.8622283865002311,0.08979710970302998,,,284.7223358154297,,0.38165345413363533,0.708974358974359,,,,,,,,,
/kaggle/working/runs/tweets/bert-small/uniform/seed1,bert-small,uniform,1,28766726.0,0.8503995291603165,0.8610725843735553,0.09180304076706869,,,292.59915256500244,,0.30804077010192527,0.6673076923076923,,,,,,,,,
/kaggle/working/runs/tweets/bert-small/uniform/seed2,bert-small,uniform,2,28766726.0,0.8533942336642043,0.8650023116042533,0.09519842297348557,,,293.5384542942047,,0.42355605889014725,0.75,,,,,,,,,
/kaggle/working/runs/tweets/bert-small/uniform/seed3,bert-small,uniform,3,28766726.0,0.8477206399377292,0.8610725843735553,0.08772280213599179,,,292.49503803253174,,0.39977349943374857,0.7153846153846154,,,,,,,,,
/kaggle/working/runs/tweets/bert-small/uniform_hetero/seed1,bert-small,uniform_hetero,1,28766726.0,0.8502065330689356,0.8626907073509015,0.08946461872237729,,,298.72886633872986,,0.41223103057757643,0.7064102564102565,,,,,,,,,
/kaggle/working/runs/tweets/bert-small/uniform_hetero/seed2,bert-small,uniform_hetero,2,28766726.0,0.853216036282369,0.8652334720295886,0.08490836871783597,,,298.4403648376465,,0.33069082672706684,0.6993589743589743,,,,,,,,,
/kaggle/working/runs/tweets/bert-small/uniform_hetero/seed3,bert-small,uniform_hetero,3,28766726.0,0.8492089234333727,0.8624595469255664,0.08821732293550916,,,300.2983455657959,,0.4575311438278596,0.7596153846153846,,,,,,,,,
